규격,도수,전통주명,제조사,주원료
"375ml, 500ml, 750ml",11.5,젤코바 스페셜와인,젤코바와이너리,"국내산 산머루, MBA포도"
"500ml, 750ml",12,젤코바 프리미엄 와인,젤코바와이너리,"국내산 산머루, MBA포도"
750ml,13.5,젤코바 캠벨와인,젤코바와이너리,"유기농 캠벨포도, 유기농 설탕"
375ml,10.5,홍시와인,젤코바와이너리,"감열매(국내산), 효모, 메타중아황산칼륨, 이산화황"
750ml,6,우도땅콩전통주,조은술 세종,"쌀, 우도땅콩"
"750ml, 1200ml",6,세종청주생막걸리,조은술 세종,"쌀, 소맥분"
750ml,6,세종 알밤주,조은술 세종,"정제수, 백미, 소맥분, 알밤(국내산), 전분당, 효모, 젖산"
750ml,6,생 청주 막걸리,조은술 세종,"쌀, 소맥분, 국, 조제종국, 효모, 물엿 등"
750ml,6,우도 땅콩 전통주,조은술 세종,"정제수, 전분당, 백미, 국, 땅콩분, 효모, 젖산 등"
750ml,4,바나나 주,조은술 세종,"쌀, 국, 정제수, 바나나 농축액, 조제종국, 효모, 물엿"
750ml,6,괴산 세종 찰옥수수 전통주,조은술 세종,"정제수, 백미, 국, 옥수수분, 전분당, 조제종국, 효모, 조효소제, 치자색소,젖산, 아스파탐, 아세설팜칼륨,허브후레바E, 누룽지향, 구연산"
"375ml, 750ml",17,아이엠더문,조은술 세종,"쌀증류식소주원액(유기농쌀100%), 주정, 정제수, 과실농축액(국내산-사과,포도,딸기,오렌지,망고) 등"
375ml,22,이도 22,조은술 세종,쌀(국내산)
375ml,13,세종 오가닉,조은술 세종,"정제수, 유기농 백미, 국, 효모, 정제효소, 구연산"
750ml,14,유기농이도 14,조은술 세종,"물, 유기농쌀(국내산),국[유기농쌀(국내산)], 우리밀누룩(국내산)"
"750ml, 1200ml, 1700ml",6,세종 쌀막걸리,조은술 세종,국내산 쌀
"375ml, 750ml",42,유기농 이도 42,조은술 세종,"유기농쌀 (100%), 정제수, 증류원액, 국, 조제종국, 효모 등"
375ml,32,유기농 이도 32,조은술 세종,"물, 증류원액(유기농 쌀, 국내산)"
300ml,14.5,미나리싱싱주,조은술 세종,"쌀(유기농,국내산), 찹쌀(유기농, 국내산), 미나리(친환경, 국내산), 국(유기농쌀,국내산), 종국, 효모, 과당, 아스파탐"
500ml,10,술그리다 생탁주,좋은술,"국내산쌀, 누룩"
500ml,14,천비향 오양주 탁주,좋은술,"국내산쌀, 누룩"
500ml,13,술예쁘다 생탁주,좋은술,"국내산 쌀, 누룩"
375ml,40,천비향 화주,좋은술,"국내산 쌀, 누룩"
500ml,16,천비향 오양주 약주,좋은술,"국내산 쌀, 누룩"
"500ml, 900ml",6,1932 새싹땅콩+햅쌀/흑미,㈜1932 포천일동막걸리,"새싹땅콩+고시히카리 쌀, 새싹땅콩+진도산 흑미"
750ml,6.5,담은,㈜1932 포천일동막걸리,"쌀(국내산), 입국, 효모, 고과당, 정제효소제, 정제수"
500ml,43,금산인삼백주,㈜금산인삼주,"국내산쌀 95.8%, 국내산 인삼 4.2%"
500ml,43,금산인삼주 수삼 500,㈜금산인삼주,"국내산 쌀, 국내산 인삼"
720ml,43,수삼단본 720,㈜금산인삼주,"국내산 쌀, 국내산 인삼"
720ml,10,배꽃담은연,㈜농업회사법인 술 빚는 전가네,"쌀 26.1%, 효모 0.07%, 젖산 0.05%, 정제수 72.31%"
720ml,6,산정호수 동정춘막걸리,㈜농업회사법인 술 빚는 전가네,"국내산 쌀, 누룩, 정제수"
750ml,6,동백우리쌀생막걸리,㈜동백양조,"정제수, 쌀 소맥분 물엿, 곡자, 효모, 조제종국, 정제효소, 아스파탐,아세설팜칼륨"
500ml,35,두레앙목통숙성주,㈜두레양조,목통숙성주원액
375ml,22,두레앙22,㈜두레양조,"포도, 메타중아황산칼륨, 효모, 설탕, 정제수"
750ml,35,두레앙 일반증류주,㈜두레양조,국내산 포도
750ml,12,두레앙와인,㈜두레양조,거봉포도
360ml,20,아우내,㈜두레양조,"포도주 증류원액, 주정"
375ml,10,쑥크레,주방장양조장,"쌀, 누룩, 쑥, 물"
350ml,19,도래하,㈜배혜정농업회사법인,"정제수, 주정, 쌀소주원액(정제수, 쌀(국내산), 국, 효모, 젖산), 합성함료(진향, 감초향), 구연산, 천연향료(고수향), 아스파탐(감미료, 페닐알라닌 함유)"
250ml,25,백제한산군주,㈜백제명가주조,"찹쌀, 물, 멥쌀, 주정, 효모, 홍고추, 구절초, 과당, 소금, 스테비아"
375ml,44,부자진 오미자 진,㈜부자진농업회사법인,"솔잎, 쑥, 헛개, 한라봉, 오미자 등"
375ml,44,부자진 배치#0001,㈜부자진농업회사법인,"캐모마일, 라벤더, 레몬 베버나, 노간주나무 열매, 한라봉, 헛개나무, 솔잎,쑥"
500ml,16,사임주,㈜사리원,"국내산 찹쌀, 국내산 멥쌀"
400ml,45,삼해소주,㈜삼해소주,"멥쌀, 찹쌀, 누룩"
700ml,19,선운산 복분자주 프리미엄,㈜선운산복분자주 흥진,"복분자(고창산), 과당, 구연산, 아스파탐, 무수아황산"
375ml,16,선운산 복분자주,㈜선운산복분자주 흥진,"복분자(고창산), 과당, 구연산, 아스파탐, 무수아황산"
300ml,13,선운산 복분자와인,㈜선운산복분자주 흥진,"복분자(고창산), 구연산, 과당, 아스파탐, 주정, 정제수"
500ml,13,샹스프랑보아즈,㈜선운산복분자주 흥진,"복분자(고창산), 구연산, 과당, 구연산, 아스파탐, 주정, 정제수"
750ml,6,미담,㈜성광주조,국내산 쌀
500ml,43,수성 프리미엄 백주43,㈜수성주류,"수수, 정제수"
330ml,12,혼디주,㈜시트러스,"제주산감귤, 백설탕, 구연산, 무수아황산"
300ml,15,한청,주식회사 초가,"정제수, 철원오대미, 정제효소제, 효모, 정제주정, 기타과당, 젖산"
750ml,6,고향생막걸리,㈜찬우물,국내산 쌀
750ml,6,고향인삼막걸리,㈜찬우물,"국내산쌀90%, 국내산인삼10%"
355ml,5,SSOA-포도,㈜포천조술당,국내산 포도
500ml,47,고리진,㈜하우스오브헤리티지,"노간주열매, 유자, 복분자, 오미자, 구기자, 인삼, 우엉, 생강, 감초, 산초"
750ml,40,금과 명주,㈜한국애플리즈,"사과증류주, 고과당, 사과향, 카라멜"
500ml,3.5,애피소드호프,㈜한국애플리즈,"사과과즙, 보리, 쌀, 홉"
360ml,14~16,The 찾을수록,㈜한국애플리즈,"사과와인, 정제수, 정제주정 외 제품별 농축액 (복숭아, 포도, 사과, 감귤, 생강, 커피향 등)"
500ml,3.5,애피소드 상그리아,㈜한국애플리즈,"포도와인, 정제주정, 정제수, 포도농축액, 고과당"
500ml,3.5,애피소드 애플,㈜한국애플리즈,사과
750ml,11,한스오차드 사과와인,㈜한국애플리즈,사과
750ml,11,프리미엄 애플와인 한스오차드,㈜한국애플리즈,국내산 사과
"375ml, 500ml, 750ml","41, 25, 17","화요 41%, 25%, 17%",㈜화요,국내산 쌀
375ml,41,죽향41,죽향도가,"정제수, 쌀(국내산), 벌꿀, 조제종국, 정제효소, 젖산"
600ml,9,대대포9,죽향도가,"정제수, 쌀, 정제효소, 젖산, 종국, 효모, 물엿, 은행나무견과, 우유함유"
500ml,17,청명주,중원당,국내산 쌀
750ml,17,청명주 750,중원당,"찹쌀,누룩,소맥분"
375ml,9,호호막걸리,중원당,"정제수, 찹쌀(국내산), 멥쌀(국내산), 단호박(국내산), 누룩(국내산), 밀함유"
375ml,10,보은주,중원당,"찹쌀(국내산), 멥쌀(국내산), 누룩(국내산)"
375ml,12,선희주,중원당,"찹쌀(국내산), 멥쌀(국내산), 누룩(국내산), 정제수, 밀함유"
750ml,6,지리산 정담 생쌀 막걸리,지리산 운봉주조,"쌀(국내산), 종국, 정제수, 누룩, 효모"
